POLE_ID,P_ALIAS,P_NAME,P_NAME_POR,P_NAME_EN,SID,ALIAS,NAME,NAME_POR,NAME_EN,ROUTE_NOS,lng,lat
841,M150_1,得勝斜路,CALÇADA DA VITÓRIA,CALÇADA DA VITÓRIA,543,M150,得勝斜路,CALÇADA DA VITÓRIA,CALÇADA DA VITÓRIA,"28C,6A,H1",113.54831444345902,22.19602877932411
842,T347_1,運動場/體育中心,ESTÁDIO / CENTRO DESPORTIVO,ESTÁDIO / CENTRO DESPORTIVO,544,T347,運動場/體育中心,ESTÁDIO / CENTRO DESPORTIVO,ESTÁDIO / CENTRO DESPORTIVO,"102,25B,26A,35,72,MT1,MT3,N6",113.55256901518995,22.1551295118013
845,T399_1,路氹東/永利皇宮,COTAI LESTE / WYNN PALACE,COTAI LESTE / WYNN PALACE,546,T399,路氹東/永利皇宮,COTAI LESTE / WYNN PALACE,COTAI LESTE / WYNN PALACE,"50,N5",113.56933141077128,22.147266635282683
847,T400_1,路氹東/新濠天地,COTAI LESTE / C.O.D.,COTAI LESTE / C.O.D.,548,T400,路氹東/新濠天地,COTAI LESTE / C.O.D.,COTAI LESTE / C.O.D.,"50,701X,N5",113.56885425867328,22.14913552535668
848,T387_1,東亞運/保齡球中心,JOGOS DA ÁSIA ORIENTAL / CENTRO DE BOWLING,JOGOS DA ÁSIA ORIENTAL / CENTRO DE BOWLING,549,T387,東亞運/保齡球中心,JOGOS DA ÁSIA ORIENTAL / CENTRO DE BOWLING,JOGOS DA ÁSIA ORIENTAL / CENTRO DE BOWLING,50,113.56890403257303,22.14347372878074
854,M20_2,青洲坊總站,BAIRRO DA ILHA VERDE / TERMINAL,BAIRRO DA ILHA VERDE / TERMINAL,553,M20,青洲坊總站,BAIRRO DA ILHA VERDE / TERMINAL,BAIRRO DA ILHA VERDE / TERMINAL,34,113.54371719972423,22.211970645865232
855,M20_3,青洲坊總站,BAIRRO DA ILHA VERDE / TERMINAL,BAIRRO DA ILHA VERDE / TERMINAL,553,M20,青洲坊總站,BAIRRO DA ILHA VERDE / TERMINAL,BAIRRO DA ILHA VERDE / TERMINAL,"16,16S,5X",113.54353947405313,22.211904999802627
858,M20_6,青洲坊總站,BAIRRO DA ILHA VERDE / TERMINAL,BAIRRO DA ILHA VERDE / TERMINAL,553,M20,青洲坊總站,BAIRRO DA ILHA VERDE / TERMINAL,BAIRRO DA ILHA VERDE / TERMINAL,30,113.54376229963027,22.211768592983685
859,M285_1,台山平民大廈,MORADIAS ECONÓMICAS DA TAMAGNINI BARBOSA,MORADIAS ECONÓMICAS DA TAMAGNINI BARBOSA,554,M285,台山平民大廈,MORADIAS ECONÓMICAS DA TAMAGNINI BARBOSA,MORADIAS ECONÓMICAS DA TAMAGNINI BARBOSA,"16,16S",113.54618172773158,22.21360448522178
861,M4_1,鄭觀應公立學校,ESCOLA OFICIAL ZHENG GUANYING,ESCOLA OFICIAL ZHENG GUANYING,555,M4,鄭觀應公立學校,ESCOLA OFICIAL ZHENG GUANYING,ESCOLA OFICIAL ZHENG GUANYING,"29,34,AP1",113.54491625779677,22.213673734216584
862,M4_2,鄭觀應公立學校,ESCOLA OFICIAL ZHENG GUANYING,ESCOLA OFICIAL ZHENG GUANYING,555,M4,鄭觀應公立學校,ESCOLA OFICIAL ZHENG GUANYING,ESCOLA OFICIAL ZHENG GUANYING,"16,16S,18,25B,65,9A",113.54525723410204,22.213656513043993
865,M210_1,青洲/美樂花園,EST. ILHA VERDE / EDF. MEI LOK GARDEN,EST. ILHA VERDE / EDF. MEI LOK GARDEN,558,M210,青洲/美樂花園,EST. ILHA VERDE / EDF. MEI LOK GARDEN,EST. ILHA VERDE / EDF. MEI LOK GARDEN,"23,27",113.53794808399051,22.21324384844081
15,M21_1,青洲/嘉應花園,CONS. BORJA/KA IENG,CONS. BORJA/KA IENG,15,M21,青洲/嘉應花園,CONS. BORJA/KA IENG,CONS. BORJA/KA IENG,"H2,N1B",113.54357689086609,22.21070447551826
867,T326_1,柯維納馬路,ESTRADA GOV. A. OLIVEIRA,ESTRADA GOV. A. OLIVEIRA,560,T326,柯維納馬路,ESTRADA GOV. A. OLIVEIRA,ESTRADA GOV. A. OLIVEIRA,"15,34,35,36",113.5461594513777,22.157025821370702
868,T326_2,柯維納馬路,ESTRADA GOV. A. OLIVEIRA,ESTRADA GOV. A. OLIVEIRA,560,T326,柯維納馬路,ESTRADA GOV. A. OLIVEIRA,ESTRADA GOV. A. OLIVEIRA,"26,52,MT2,N5",113.54589627763687,22.15702155533648
869,T326_3,柯維納馬路,ESTRADA GOV. A. OLIVEIRA,ESTRADA GOV. A. OLIVEIRA,560,T326,柯維納馬路,ESTRADA GOV. A. OLIVEIRA,ESTRADA GOV. A. OLIVEIRA,"15,26,36,N5",113.5457208701069,22.157140651105102
