POLE_ID,P_ALIAS,P_NAME,P_NAME_POR,P_NAME_EN,SID,ALIAS,NAME,NAME_POR,NAME_EN,ROUTE_NOS,lng,lat
989,T348_1,路環發電廠,CENTRAL TÉRMICA DE COLOANE,CENTRAL TÉRMICA DE COLOANE,607,T348,路環發電廠,CENTRAL TÉRMICA DE COLOANE,CENTRAL TÉRMICA DE COLOANE,"51,59,MT4",113.57455186726631,22.13864208173856
990,T436_1,溜冰路/東亞運體育館,RUA DA PATINAGEM / N. D. DOS J. DA ÁSIA ORIENTAL,RUA DA PATINAGEM / N. D. DOS J. DA ÁSIA ORIENTAL,608,T436,溜冰路/東亞運體育館,RUA DA PATINAGEM / N. D. DOS J. DA ÁSIA ORIENTAL,RUA DA PATINAGEM / N. D. DOS J. DA ÁSIA ORIENTAL,"35,51,59,701X,MT4,N5",113.57219976258268,22.138979981072602
992,T349_1,路環電廠圓形地,R. DA CENTRAL TÉRMICA DE COLOANE,R. DA CENTRAL TÉRMICA DE COLOANE,610,T349,路環電廠圓形地,R. DA CENTRAL TÉRMICA DE COLOANE,R. DA CENTRAL TÉRMICA DE COLOANE,35,113.57441426165691,22.138793756873685
995,T364_1,望德聖母灣馬路/軍營,EST. BAIA N. S. ESPERANÇA / QUARTEL,EST. BAIA N. S. ESPERANÇA / QUARTEL,611,T364,望德聖母灣馬路/軍營,EST. BAIA N. S. ESPERANÇA / QUARTEL,EST. BAIA N. S. ESPERANÇA / QUARTEL,"35,71S,MT1,MT3",113.55501589894979,22.150794649564745
996,T364_2,望德聖母灣馬路/軍營,EST. BAIA N. S. ESPERANÇA / QUARTEL,EST. BAIA N. S. ESPERANÇA / QUARTEL,611,T364,望德聖母灣馬路/軍營,EST. BAIA N. S. ESPERANÇA / QUARTEL,EST. BAIA N. S. ESPERANÇA / QUARTEL,"25B,26A,26AT,72",113.55529756712478,22.15068686198049
997,T397_1,路氹西/銀河,COTAI OESTE / GALAXY,COTAI OESTE / GALAXY,612,T397,路氹西/銀河,COTAI OESTE / GALAXY,COTAI OESTE / GALAXY,"51A,72",113.5577434394824,22.14481338752997
998,T380_1,連貫公路/倫敦人,EST.DO ISTMO / LONDONER,EST.DO ISTMO / LONDONER,613,T380,連貫公路/倫敦人,EST.DO ISTMO / LONDONER,EST.DO ISTMO / LONDONER,"15,21A,25,25AX,25BS,26,26A,26AT,51B,56,MT4,N3",113.5638676080666,22.146222735331925
999,T379_1,連貫公路/巴黎人花園,EST.DO ISTMO / LE JARDIN,EST.DO ISTMO / LE JARDIN,614,T379,連貫公路/巴黎人花園,EST.DO ISTMO / LE JARDIN,EST.DO ISTMO / LE JARDIN,"15,21A,25,25BS,26,26A,26AT,51B,56,MT4,N3",113.56375544784581,22.143841449080327
1000,T388_1,東亞運/巴黎人花園,JOGOS DA ÁSIA ORIENTAL / LE JARDIN,JOGOS DA ÁSIA ORIENTAL / LE JARDIN,615,T388,東亞運/巴黎人花園,JOGOS DA ÁSIA ORIENTAL / LE JARDIN,JOGOS DA ÁSIA ORIENTAL / LE JARDIN,50,113.56864458421421,22.142989653420155
1001,M213_1,俾若翰街/快富樓,R. DO COMANDANTE JOÃO BELO / EDF. FAI FU,R. DO COMANDANTE JOÃO BELO / EDF. FAI FU,616,M213,俾若翰街/快富樓,R. DO COMANDANTE JOÃO BELO / EDF. FAI FU,R. DO COMANDANTE JOÃO BELO / EDF. FAI FU,"71S,H2",113.53828724981426,22.206784959740506
1003,M108_1,俾若翰街/綠楊花園,R. DO COMANDANTE JOÃO BELO / EDF. LOK YEUNG FA YUEN,R. DO COMANDANTE JOÃO BELO / EDF. LOK YEUNG FA YUEN,617,M108,俾若翰街/綠楊花園,R. DO COMANDANTE JOÃO BELO / EDF. LOK YEUNG FA YUEN,R. DO COMANDANTE JOÃO BELO / EDF. LOK YEUNG FA YUEN,"101,1A,32,3X,51A,5X,MT4,N2",113.54083624711694,22.207466949475066
1004,M108_2,俾若翰街/綠楊花園,R. DO COMANDANTE JOÃO BELO / EDF. LOK YEUNG FA YUEN,R. DO COMANDANTE JOÃO BELO / EDF. LOK YEUNG FA YUEN,617,M108,俾若翰街/綠楊花園,R. DO COMANDANTE JOÃO BELO / EDF. LOK YEUNG FA YUEN,R. DO COMANDANTE JOÃO BELO / EDF. LOK YEUNG FA YUEN,H2,113.54094603037574,22.20749662712856
1006,M70_1,澳門理工大學,UNIVERSIDADE POLITÉCNICA DE MACAU,MACAO POLYTECHNIC UNIVERSITY,618,M70,澳門理工大學,UNIVERSIDADE POLITÉCNICA DE MACAU,MACAO POLYTECHNIC UNIVERSITY,"10,10B,1A,28A,28B,28C,29,3,32",113.55198221764792,22.193429055052917
1007,M71_1,廈門街/澳門理工大學,RUA DE XIAMEN / U.P.M.,RUA DE XIAMEN / M.P.U.,619,M71,廈門街/澳門理工大學,RUA DE XIAMEN / U.P.M.,RUA DE XIAMEN / M.P.U.,"10,10B,1A,23,28A,28B,28C,29,3,32",113.55153570568257,22.193139673250503
1008,C666_1,竹灣馬路-1,EST. CHEOC VAN-1,EST. CHEOC VAN-1,620,C666,竹灣馬路-1,EST. CHEOC VAN-1,EST. CHEOC VAN-1,"21A,26A,N3",113.56109148194479,22.11457782790976
1011,C700_1,澳門鏡湖護理學院,Instituto de Enfermagem Kiang Wu de Macau,Kiang Wu Nursing College of Macau,622,C700,澳門鏡湖護理學院,Instituto de Enfermagem Kiang Wu de Macau,Kiang Wu Nursing College of Macau,25B,113.56851870589146,22.136533165376978
1012,T384_1,蓮花路/體育館馬路,EST. F. DE LÓTUS / AV. DA NAVE DESPORTIVA,EST. F. DE LÓTUS / AV. DA NAVE DESPORTIVA,623,T384,蓮花路/體育館馬路,EST. F. DE LÓTUS / AV. DA NAVE DESPORTIVA,EST. F. DE LÓTUS / AV. DA NAVE DESPORTIVA,"51,59,701X,MT4",113.56753807011779,22.138645515689685
1013,M2(於2026年2月7日首班車開始調整)_1,東方明珠總站,PÉROLA ORIENTAL/ TERMINAL,ORIENTAL PEARL / TERMINAL,624,M2(於2026年2月7日首班車開始調整),東方明珠總站,PÉROLA ORIENTAL/ TERMINAL,ORIENTAL PEARL / TERMINAL,7,113.55700090476654,22.21047988722509
1014,T363_1,連貫公路/威尼斯人,EST. DO ISTMO / VENETIAN,EST. DO ISTMO / VENETIAN,625,T363,連貫公路/威尼斯人,EST. DO ISTMO / VENETIAN,EST. DO ISTMO / VENETIAN,"15,21A,21AT,26,26A,26AT,51B,N3",113.56376619727389,22.1492587260952
1015,T363_2,連貫公路/威尼斯人,EST. DO ISTMO / VENETIAN,EST. DO ISTMO / VENETIAN,625,T363,連貫公路/威尼斯人,EST. DO ISTMO / VENETIAN,EST. DO ISTMO / VENETIAN,"25,25AX,25B,56,MT4",113.56377797670434,22.149493141463342
1016,M3_1,媽閣交通樞紐,CENTRO MODAL DE TRANSPORTES DA BARRA,BARRA PUBLIC TRANSPORT INTERCHANGE,626,M3,媽閣交通樞紐,CENTRO MODAL DE TRANSPORTES DA BARRA,BARRA PUBLIC TRANSPORT INTERCHANGE,"1,2",113.53005098166456,22.183902029034105
1017,M3_2,媽閣交通樞紐,CENTRO MODAL DE TRANSPORTES DA BARRA,BARRA PUBLIC TRANSPORT INTERCHANGE,626,M3,媽閣交通樞紐,CENTRO MODAL DE TRANSPORTES DA BARRA,BARRA PUBLIC TRANSPORT INTERCHANGE,"18,18B",113.53006375632815,22.184035617635548
1018,M3_3,媽閣交通樞紐,CENTRO MODAL DE TRANSPORTES DA BARRA,BARRA PUBLIC TRANSPORT INTERCHANGE,626,M3,媽閣交通樞紐,CENTRO MODAL DE TRANSPORTES DA BARRA,BARRA PUBLIC TRANSPORT INTERCHANGE,"11,5",113.53007693897638,22.18417347843206
1019,M3_4,媽閣交通樞紐,CENTRO MODAL DE TRANSPORTES DA BARRA,BARRA PUBLIC TRANSPORT INTERCHANGE,626,M3,媽閣交通樞紐,CENTRO MODAL DE TRANSPORTES DA BARRA,BARRA PUBLIC TRANSPORT INTERCHANGE,"10,21A,21AT,61",113.53008753143291,22.184284254879405
1023,C669_1,黑沙海灘,PRAIA DE HAC SÁ,HAC SA BEACH,628,C669,黑沙海灘,PRAIA DE HAC SÁ,HAC SA BEACH,"15T,21A,26A",113.56941646580712,22.11830357067631
1024,C669_2,黑沙海灘,PRAIA DE HAC SÁ,HAC SA BEACH,628,C669,黑沙海灘,PRAIA DE HAC SÁ,HAC SA BEACH,"15T,21A,26A,N3",113.56940581439845,22.118752843937298
1029,C654_1,聯生圓形地總站,ROTUNDA DA CONCÓRDIA / TERMINAL,ROTUNDA DA CONCÓRDIA / TERMINAL,629,C654,聯生圓形地總站,ROTUNDA DA CONCÓRDIA / TERMINAL,ROTUNDA DA CONCÓRDIA / TERMINAL,59,113.55501197914481,22.12561813571104
1030,C654_2,聯生圓形地總站,ROTUNDA DA CONCÓRDIA / TERMINAL,ROTUNDA DA CONCÓRDIA / TERMINAL,629,C654,聯生圓形地總站,ROTUNDA DA CONCÓRDIA / TERMINAL,ROTUNDA DA CONCÓRDIA / TERMINAL,"21A,26A,50,N3",113.55496553668144,22.12572911041388
1031,C654_3,聯生圓形地總站,ROTUNDA DA CONCÓRDIA / TERMINAL,ROTUNDA DA CONCÓRDIA / TERMINAL,629,C654,聯生圓形地總站,ROTUNDA DA CONCÓRDIA / TERMINAL,ROTUNDA DA CONCÓRDIA / TERMINAL,"25,26",113.55497890929325,22.125880037827425
1035,M118_1,高美士/馬六甲街停車場,GONZAGA GOMES/ AUTO-SILO DA RUA DE MALACA,GONZAGA GOMES/ AUTO-SILO DA RUA DE MALACA,631,M118,高美士/馬六甲街停車場,GONZAGA GOMES/ AUTO-SILO DA RUA DE MALACA,GONZAGA GOMES/ AUTO-SILO DA RUA DE MALACA,"10,10B,1A,28A,28B,28C,29,3,32",113.55378911539871,22.195751207474363
1036,T396_1,路氹西/金光會展,COTAI OESTE / COTAI EXPO,COTAI OESTE / COTAI EXPO,632,T396,路氹西/金光會展,COTAI OESTE / COTAI EXPO,COTAI OESTE / COTAI EXPO,"51A,701X,71S,72",113.5579520628464,22.14473889750894
1037,M235_2,東北大馬路/保利達,AV. NORDESTE/ POLY TEX,AV. NORDESTE/ POLY TEX,170,M235,東北大馬路/保利達,AV. NORDESTE/ POLY TEX,AV. NORDESTE/ POLY TEX,"27,3AX,AP1",113.55742176302824,22.209168629807607
1040,M134_1,新馬路/華僑,ALMEIDA RIBEIRO / OCBC,ALMEIDA RIBEIRO / OCBC,633,M134,新馬路/華僑,ALMEIDA RIBEIRO / OCBC,ALMEIDA RIBEIRO / OCBC,"101,101XS,18A,19,26A,3,33,3X,4,6A,8A,N1A",113.53918701209214,22.193921856790862
1042,M202_1,南光大廈,EDF. NAM KWONG,NAM KWONG BUILDING,635,M202,南光大廈,EDF. NAM KWONG,NAM KWONG BUILDING,"17,6A",113.54664593780771,22.192013404236167
1045,T560_1,橫琴澳方口岸,POSTO FRONTEIRIÇO MACAU - HENGQIN,MACAO – HENGQIN FRONTIER POST,636,T560,橫琴澳方口岸,POSTO FRONTEIRIÇO MACAU - HENGQIN,MACAO – HENGQIN FRONTIER POST,25BS,113.54609562083348,22.141047712622044
1046,T560_2,橫琴澳方口岸,POSTO FRONTEIRIÇO MACAU - HENGQIN,MACAO – HENGQIN FRONTIER POST,636,T560,橫琴澳方口岸,POSTO FRONTEIRIÇO MACAU - HENGQIN,MACAO – HENGQIN FRONTIER POST,25B,113.54584978179062,22.141037563378024
1048,T560_4,橫琴澳方口岸,POSTO FRONTEIRIÇO MACAU - HENGQIN,MACAO – HENGQIN FRONTIER POST,636,T560,橫琴澳方口岸,POSTO FRONTEIRIÇO MACAU - HENGQIN,MACAO – HENGQIN FRONTIER POST,50,113.54568608615818,22.141326961644115
1049,T560_5,橫琴澳方口岸,POSTO FRONTEIRIÇO MACAU - HENGQIN,MACAO – HENGQIN FRONTIER POST,636,T560,橫琴澳方口岸,POSTO FRONTEIRIÇO MACAU - HENGQIN,MACAO – HENGQIN FRONTIER POST,"701X,N6",113.5460540393193,22.14133927533678
1050,T560_6,橫琴澳方口岸,POSTO FRONTEIRIÇO MACAU - HENGQIN,MACAO – HENGQIN FRONTIER POST,636,T560,橫琴澳方口岸,POSTO FRONTEIRIÇO MACAU - HENGQIN,MACAO – HENGQIN FRONTIER POST,102,113.54625101412388,22.141346288658706
1051,T560_7,橫琴澳方口岸,POSTO FRONTEIRIÇO MACAU - HENGQIN,MACAO – HENGQIN FRONTIER POST,636,T560,橫琴澳方口岸,POSTO FRONTEIRIÇO MACAU - HENGQIN,MACAO – HENGQIN FRONTIER POST,"701X,N6",113.54642023533884,22.141354716357636
1052,M277_1,西灣湖景大馬路/媽閣交通樞紐,AV. PANORÂMICA DO LAGO SAI VAN / CENTRO MODAL DE TRANSPORTES DA BARRA,AV. PANORÂMICA DO LAGO SAI VAN / CENTRO MODAL DE TRANSPORTES DA BARRA,637,M277,西灣湖景大馬路/媽閣交通樞紐,AV. PANORÂMICA DO LAGO SAI VAN / CENTRO MODAL DE TRANSPORTES DA BARRA,AV. PANORÂMICA DO LAGO SAI VAN / CENTRO MODAL DE TRANSPORTES DA BARRA,"16S,26,28B,55,60,65,6B,71S,MT4,N3",113.52921095023984,22.18465538392126
1053,M260_1,城市日大馬路/永利,AV. 24 DE JUNHO / WYNN,AV. 24 DE JUNHO / WYNN,638,M260,城市日大馬路/永利,AV. 24 DE JUNHO / WYNN,AV. 24 DE JUNHO / WYNN,"3AX,65",113.54796979688437,22.188553121627397
1054,M198_1,西灣湖景大馬路/媽閣碼頭,AV. PANORÂMICA DO LAGO SAI VAN / PONTE-CAIS DA BARRA,AV. PANORÂMICA DO LAGO SAI VAN / PONTE-CAIS DA BARRA,639,M198,西灣湖景大馬路/媽閣碼頭,AV. PANORÂMICA DO LAGO SAI VAN / PONTE-CAIS DA BARRA,AV. PANORÂMICA DO LAGO SAI VAN / PONTE-CAIS DA BARRA,"26,55,61,6B,71S,MT4,N3",113.52913245464488,22.184729093774628
1055,M198_2,西灣湖景大馬路/媽閣碼頭,AV. PANORÂMICA DO LAGO SAI VAN / PONTE-CAIS DA BARRA,AV. PANORÂMICA DO LAGO SAI VAN / PONTE-CAIS DA BARRA,639,M198,西灣湖景大馬路/媽閣碼頭,AV. PANORÂMICA DO LAGO SAI VAN / PONTE-CAIS DA BARRA,AV. PANORÂMICA DO LAGO SAI VAN / PONTE-CAIS DA BARRA,"1,10,11,18,18B,2,21A,5,60,65,9",113.52914005961316,22.1847555192129
1056,C701_1,澳門協和醫院,HOSPITAL MACAU UNION,HOSPITAL MACAU UNION,640,C701,澳門協和醫院,HOSPITAL MACAU UNION,HOSPITAL MACAU UNION,"35,H3",113.56481468147727,22.137068833315638
1057,C702_1,澳門協和醫院/綜合服務大樓,HOSPITAL MACAU UNION / EDF. DE MULTI - SERVIÇOS,HOSPITAL MACAU UNION / EDF. DE MULTI - SERVIÇOS,641,C702,澳門協和醫院/綜合服務大樓,HOSPITAL MACAU UNION / EDF. DE MULTI - SERVIÇOS,HOSPITAL MACAU UNION / EDF. DE MULTI - SERVIÇOS,"35,50,H3,MT4,N5",113.5665029390586,22.135374963761365
1059,T330_4,蘇利安圓形地,ROTUNDA LEONEL SOUSA,ROTUNDA LEONEL SOUSA,215,T330,蘇利安圓形地,ROTUNDA LEONEL SOUSA,ROTUNDA LEONEL SOUSA,"11,35,36,MT2,N5",113.54767592612532,22.164216626209473
1060,T330_2,蘇利安圓形地,ROTUNDA LEONEL SOUSA,ROTUNDA LEONEL SOUSA,215,T330,蘇利安圓形地,ROTUNDA LEONEL SOUSA,ROTUNDA LEONEL SOUSA,"35,36",113.54846466548867,22.164093211924353
1063,T303_1,澳門旅遊大學,UNIVERSIDADE DE TURISMO DE MACAU,MACAO UNIVERSITY OF TOURISM,643,T303,澳門旅遊大學,UNIVERSIDADE DE TURISMO DE MACAU,MACAO UNIVERSITY OF TOURISM,"11,37",113.55937289125139,22.163529114620655
1064,T420_1,蓮花海濱大馬路/銀河-1,AV. M. FLOR DE LÓTUS / GALAXY - 1,AV. M. FLOR DE LÓTUS / GALAXY - 1,644,T420,蓮花海濱大馬路/銀河-1,AV. M. FLOR DE LÓTUS / GALAXY - 1,AV. M. FLOR DE LÓTUS / GALAXY - 1,"102,52,55,71,73,H3,N6",113.55169380154663,22.149207254539856
1065,T433_1,射擊路/上葡京,R. TIRO / PALÁCIO GRANDE LISBOA,R. TIRO / GRAND LISBOA PALACE,645,T433,射擊路/上葡京,R. TIRO / PALÁCIO GRANDE LISBOA,R. TIRO / GRAND LISBOA PALACE,"35,50B,51,59,701X,MT4,N5",113.57365121078261,22.145218523265967
1067,T434_1,機場大馬路/上葡京,AV. AEROPORTO / PALÁCIO GRANDE LISBOA,AV. AEROPORTO / GRAND LISBOA PALACE,646,T434,機場大馬路/上葡京,AV. AEROPORTO / PALÁCIO GRANDE LISBOA,AV. AEROPORTO / GRAND LISBOA PALACE,"35,50B,51,59,701X,MT4",113.5756240296607,22.14496704909031
1068,M152_1,塔石廣場,PRAÇA DO TAP SEAC,PRAÇA DO TAP SEAC,647,M152,塔石廣場,PRAÇA DO TAP SEAC,PRAÇA DO TAP SEAC,"18A,19,2,4",113.54764412397084,22.198130483439968
1069,M216_1,馬場東大馬路,AV. LESTE  HIPÓDROMO,AV. LESTE  HIPÓDROMO,648,M216,馬場東大馬路,AV. LESTE  HIPÓDROMO,AV. LESTE  HIPÓDROMO,"17,28C,30,51A",113.55435727646184,22.212951097137946
1071,M165_1,加思欄/公共衛生專科大樓,S. FRANCISCO/ EDF. ESPECIALIDADE SAÚDE PÚBLICA,S. FRANCISCO/ PUBLIC HEALTH SPECIALIST BLDG,649,M165,加思欄/公共衛生專科大樓,S. FRANCISCO/ EDF. ESPECIALIDADE SAÚDE PÚBLICA,S. FRANCISCO/ PUBLIC HEALTH SPECIALIST BLDG,"17,28C,6A,6B,H1",113.54522579143234,22.192695297446054
1072,M102_1,船澳街,RUA DA DOCA SECA,RUA DA DOCA SECA,650,M102,船澳街,RUA DA DOCA SECA,RUA DA DOCA SECA,"101,61,71S,MT4",113.5404285239331,22.206723838707983
1073,T354_1,北安出入境事務大樓,EDF. SERVIÇOS MIGRAÇÃO PAC ON,IMMIGRATION BUILDING PAC ON,651,T354,北安出入境事務大樓,EDF. SERVIÇOS MIGRAÇÃO PAC ON,IMMIGRATION BUILDING PAC ON,"51,51B,59",113.57343952976316,22.16374529244177
1075,M23_1,青茂/白朗古,QINGMAO / GEN. C. BRANCO,QINGMAO / GEN. C. BRANCO,653,M23,青茂/白朗古,QINGMAO / GEN. C. BRANCO,QINGMAO / GEN. C. BRANCO,"9A,AP1",113.54383605412343,22.212995617790995
491,M13_1,李寶椿街,RUA LEI POU CHON,RUA LEI POU CHON,9,M13,李寶椿街,RUA LEI POU CHON,RUA LEI POU CHON,"27,30,65",113.54659912107466,22.212193651174374
1078,C661_1,少年感化院-2,INST. MENORES - 2,YOUTH CORRECTIONAL INST.-2,654,C661,少年感化院-2,INST. MENORES - 2,YOUTH CORRECTIONAL INST.-2,"21A,26A,N3",113.55528269230788,22.117986321128296
1079,C662_1,少年感化院-1,INST. MENORES - 1,YOUTH CORRECTIONAL INST.-1,655,C662,少年感化院-1,INST. MENORES - 1,YOUTH CORRECTIONAL INST.-1,"21A,26A,N3",113.55524602101475,22.1180507268902
1080,C695_1,九澳水庫郊野公園/懲教管理局-1,PARQUE NATURAL BARRAGEM KÁ-HÓ / DSC-1,KÁ-HÓ RESERVOIR COUNTRY PARK/DSC-1,656,C695,九澳水庫郊野公園/懲教管理局-1,PARQUE NATURAL BARRAGEM KÁ-HÓ / DSC-1,KÁ-HÓ RESERVOIR COUNTRY PARK/DSC-1,"15,21A",113.57847302889655,22.133929939585386
1081,C696_1,九澳水庫郊野公園/懲教管理局-2,PARQUE NATURAL BARRAGEM KÁ-HÓ / DSC-2,KA-HO RESERVOIR COUNTRY PARK/ DSC-2,657,C696,九澳水庫郊野公園/懲教管理局-2,PARQUE NATURAL BARRAGEM KÁ-HÓ / DSC-2,KA-HO RESERVOIR COUNTRY PARK/ DSC-2,21A,113.57853786862863,22.133906757451417
1083,M67_1,青茂口岸,POSTO FRONTEIRIÇO QINGMAO,QINGMAO FRONTIER POST,597,M67,青茂口岸,POSTO FRONTEIRIÇO QINGMAO,QINGMAO FRONTIER POST,"29,51A,61,9A,AP1,MT4",113.54295147376293,22.21355582252499
1085,M142_1,新馬路/金碧坊,ALMEIDA RIBEIRO /MERCADO KAM PEK,ALMEIDA RIBEIRO /MERCADO KAM PEK,658,M142,新馬路/金碧坊,ALMEIDA RIBEIRO /MERCADO KAM PEK,ALMEIDA RIBEIRO /MERCADO KAM PEK,"10,11,2,21A,3A,5,N3",113.53735053808147,22.195672041967622
1086,T398_1,體育館大馬路/美獅美高梅,AV. NAVE DESPORTIVA / MGM COTAI,AV. NAVE DESPORTIVA / MGM COTAI,659,T398,體育館大馬路/美獅美高梅,AV. NAVE DESPORTIVA / MGM COTAI,AV. NAVE DESPORTIVA / MGM COTAI,"50,701X,N5",113.56914229787706,22.146623558795493
1089,M801_1,泰安大馬路,AV TAI ON,AV TAI ON,662,M801,泰安大馬路,AV TAI ON,AV TAI ON,"101,102,103,2A,51B",113.56717133735764,22.206571933834528
1090,M802_1,東啟大廈,EDF TONG KA,EDF TONG KA,663,M802,東啟大廈,EDF TONG KA,EDF TONG KA,"101,102,103,51B",113.56727619374426,22.20483300006319
1091,M286_1,東方明珠大馬路/樂居,AV PÉROLA ORIENTAL/LOK KOI,AV PÉROLA ORIENTAL/LOK KOI,664,M286,東方明珠大馬路/樂居,AV PÉROLA ORIENTAL/LOK KOI,AV PÉROLA ORIENTAL/LOK KOI,"34,51A",113.55967401152539,22.208799203334443
1092,M49_1,望信樓/慕拉士政府綜合服務中心-1,EDF. MONG SON / CENTR. SERV. RAEM NA AV. VENC. MORAIS -1,EDF. MONG SON / CENTR. SERV. RAEM NA AV. VENC. MORAIS -1,665,M49,望信樓/慕拉士政府綜合服務中心-1,EDF. MONG SON / CENTR. SERV. RAEM NA AV. VENC. MORAIS -1,EDF. MONG SON / CENTR. SERV. RAEM NA AV. VENC. MORAIS -1,"10,1A,2,28B,29",113.55466936645018,22.20492266648231
1093,M56_1,望信樓/慕拉士政府綜合服務中心-2,EDF. MONG SON / CENTR. SERV. RAEM NA AV. VENC. MORAIS -2,EDF. MONG SON / CENTR. SERV. RAEM NA AV. VENC. MORAIS -2,666,M56,望信樓/慕拉士政府綜合服務中心-2,EDF. MONG SON / CENTR. SERV. RAEM NA AV. VENC. MORAIS -2,EDF. MONG SON / CENTR. SERV. RAEM NA AV. VENC. MORAIS -2,"6A,H2",113.55431103034283,22.20463150307904
1095,M230_2,高利亞海軍上將大馬路,AV. ALM. MAGALHÃES CORREIA,AV. ALM. MAGALHÃES CORREIA,667,M230,高利亞海軍上將大馬路,AV. ALM. MAGALHÃES CORREIA,AV. ALM. MAGALHÃES CORREIA,MT3,113.55287764316311,22.208495372457307
392,T421_1,皇庭海景酒店,POUSADA MARINA INFANTE,POUSADA MARINA INFANTE,392,T421,皇庭海景酒店,POUSADA MARINA INFANTE,POUSADA MARINA INFANTE,"102,52,55,71,71S,73,H3,N6",113.55100275436791,22.150050257128893
1096,C659_1,路環街市/打纜街,VILA DE COLOANE / RUA DA CORDOARIA,VILA DE COLOANE / RUA DA CORDOARIA,668,C659,路環街市/打纜街,VILA DE COLOANE / RUA DA CORDOARIA,VILA DE COLOANE / RUA DA CORDOARIA,"21A,26A",113.55250825769595,22.117965875276354
1097,M278_1,巴波沙/李寶椿街,AV. ARTUR DE TAMAGNINI BARBOSA / RUA DE LEI POU CH’ÔN,AV. ARTUR DE TAMAGNINI BARBOSA / RUA DE LEI POU CH’ÔN,669,M278,巴波沙/李寶椿街,AV. ARTUR DE TAMAGNINI BARBOSA / RUA DE LEI POU CH’ÔN,AV. ARTUR DE TAMAGNINI BARBOSA / RUA DE LEI POU CH’ÔN,"1,10,29,34,9,9A",113.54751788488831,22.211803429778687
1098,M9_1,關閘廣場,PRAÇA DAS PORTAS DO CERCO,BARRIER GATE PLAZA,670,M9,關閘廣場,PRAÇA DAS PORTAS DO CERCO,BARRIER GATE PLAZA,"27,3BX,AP1",113.54967429932246,22.215522254245315
1099,M9_2,關閘廣場,PRAÇA DAS PORTAS DO CERCO,BARRIER GATE PLAZA,670,M9,關閘廣場,PRAÇA DAS PORTAS DO CERCO,BARRIER GATE PLAZA,"30X,3AX,59",113.54980335968052,22.215484639134935
1100,M9_3,關閘廣場,PRAÇA DAS PORTAS DO CERCO,BARRIER GATE PLAZA,670,M9,關閘廣場,PRAÇA DAS PORTAS DO CERCO,BARRIER GATE PLAZA,"25AX,51B",113.54999767176983,22.215359580356616
1101,M9_4,關閘廣場,PRAÇA DAS PORTAS DO CERCO,BARRIER GATE PLAZA,670,M9,關閘廣場,PRAÇA DAS PORTAS DO CERCO,BARRIER GATE PLAZA,51,113.54997891583506,22.215226436741144
629,C660_1,路環居民大會堂,ASSOC. DE M. DE COLOANE,ASSOC. DE M. DE COLOANE,488,C660,路環居民大會堂,ASSOC. DE M. DE COLOANE,ASSOC. DE M. DE COLOANE,"21A,26A,N3",113.55325904337238,22.118198641517466
934,T355_2,蓮花路停車場,AUTO-SILO DA ESTRADA FLOR DE LÓTUS,AUTO-SILO DA ESTRADA FLOR DE LÓTUS,577,T355,蓮花路停車場,AUTO-SILO DA ESTRADA FLOR DE LÓTUS,AUTO-SILO DA ESTRADA FLOR DE LÓTUS,"102,25B,25BS,26,50,701X,N3,N6",113.5605194185663,22.138998291186684
967,T355_1,蓮花路停車場,AUTO-SILO DA ESTRADA FLOR DE LÓTUS,AUTO-SILO DA ESTRADA FLOR DE LÓTUS,577,T355,蓮花路停車場,AUTO-SILO DA ESTRADA FLOR DE LÓTUS,AUTO-SILO DA ESTRADA FLOR DE LÓTUS,"15,21A,25,26,26A,50",113.5608345416001,22.13896190581117
1103,M803_1,東城第三街,R. TRÊS ZONA ESTE,R. TRÊS ZONA ESTE,671,M803,東城第三街,R. TRÊS ZONA ESTE,R. TRÊS ZONA ESTE,2A,113.5683215671875,22.20538451425322
1104,M804_1,東城大廈,EDF. TONG SENG,EDF. TONG SENG,672,M804,東城大廈,EDF. TONG SENG,EDF. TONG SENG,"101,102,103,2A,51B",113.56510053574532,22.206044055589782
1105,M2_1,東方明珠總站,PÉROLA ORIENTAL / TERMINAL,ORIENTAL PEARL / TERMINAL,673,M2,東方明珠總站,PÉROLA ORIENTAL / TERMINAL,ORIENTAL PEARL / TERMINAL,2A,113.55734412915831,22.210826124747538
1106,M2_2,東方明珠總站,PÉROLA ORIENTAL / TERMINAL,ORIENTAL PEARL / TERMINAL,673,M2,東方明珠總站,PÉROLA ORIENTAL / TERMINAL,ORIENTAL PEARL / TERMINAL,"18A,27,2A,7",113.55701174659454,22.21049061831142
1107,C704_1,榕樹街/石排灣馬路,R. ÁRVORES PAGODE/ ESTR. SEAC PAI VAN,R. ÁRVORES PAGODE/ ESTR. SEAC PAI VAN,674,C704,榕樹街/石排灣馬路,R. ÁRVORES PAGODE/ ESTR. SEAC PAI VAN,R. ÁRVORES PAGODE/ ESTR. SEAC PAI VAN,52,113.55775198588404,22.12990084484711
1109,C703_1,榕樹街/金峰南岸,R. ÁRVORES PAGODE/ONE OASIS,R. ÁRVORES PAGODE/ONE OASIS,675,C703,榕樹街/金峰南岸,R. ÁRVORES PAGODE/ONE OASIS,R. ÁRVORES PAGODE/ONE OASIS,52,113.5576484488208,22.12973551077196
