NETWORK_ID,ROUTE_NOS,lng,lat
4758,"1,16,16S,26,61,71S,MT4",,
4760,"101,101XS,18A,19,26A,3,33,3X,4,6A,8A,N1A",,
4755,"10,11,2,21A,3A,5,N3",,
4765,"10,101,11,2,21A,21AT,26A,26AT,3,33,3A,3X,5,6A,N1B,N3",,
4773,"12,2A,7",,
4777,"10,12,19,1A,2,22,28B,28C,29,34,6A,8,H2",,
4795,"103,10B,12,18B,19,2,28C,30,6A",,
4796,"10B,18B",,
4798,"103,12,17S,19,2,27,28C,30,51A,6A,AP1",,
4800,"18,18B,3A,7,N1A",,
4815,"17,19,28C,30,51A,6A",,
4809,"19,28C,30,6A",,
4817,"12,17S,3A,3AX,60",,
4819,"10,101XS,102,10B,1A,25AX,28A,28B,29,2AS,3,32,3A,3BX,56,73,AP1,N1A",,
4824,"12,17S,3A,60,8",,
4833,"17S,1A,39",,
4842,"12,17S,1A,23,39,3A,3AX,50,5X,60,8,MT5",,
4849,"12,17S,1A,23,39,3A,3AX,50,5X,60,8,MT5",,
4870,"1,10,11,16,16S,2,21A,26,3A,5,61,71S,MT4,N3",,
4872,3A,,
4895,"102,12,23,25AX,29,2AS,39,3A,3BX,50B,65,7,73,8,MT1,MT2,MT5,N1B",,
4905,"101XS,102,12,23,25AX,29,2AS,39,3A,3AX,3BX,50,50B,5X,60,65,7,73,8,MT1,MT2,MT5",,
4901,"12,39,3A,3AX,50,5X,60,8,MT5",,
4938,"12,3A,56,60",,
4943,"12,3A,56,60",,
4958,"3A,56,AP1",,
4961,"12,17,17S,3A,3AX,60,8",,
4962,"12,17,17S,3A,3AX,56,60,8,AP1",,
4969,"10,1A,28B,56",,
4994,"17,19,28C,30,51A,6A",,
5011,"101XS,17T,25,26A,3,33,5",,
5013,"101XS,17T,25,26A,3,33,5",,
5017,"1,10,101,101XS,17T,18,25,27,29,3,30,34,5,65,9,9A,N1A",,
5021,"16S,17,25,3,3X,5,65,9,9A",,
5023,"26,26A,32,33,4,8,8A,N2",,
5026,"1,16,16S,17,26,26A,28C,3,32,33,3X,4,5,65,8,8A,9,9A,N1B,N2",,
5031,"12,17,17T,18,18A,18B,19,2,22,23,25,25B,2A,32,4,56,6A,H2",,
5037,"1,101,1A,27,28B,8,H2,N1B",,
5040,"101XS,17T,25,26A,3,33,5",,
5041,"101XS,17T,25,3,5",,
5035,"26A,33",,
5044,"16,16S,17,26,26A,28C,3,32,33,3X,4,5,65,8,8A,9,9A,N2",,
5051,"12,17,22,23,25,25B,56",,
5062,"18,18B,2,2A,5X,6A",,
5079,"10,10B,28A,28B,28C,29,3,32,5,56,H3",,
5080,"10,10B,28A,28B,28C,29,3,32",,
5084,"10,10B,1A,28A,28B,29,3,32",,
5086,"23,28C,56,5X,65,H3,N2",,
5108,"23,28C",,
5119,"23,28C",,
5120,"23,28C",,
5126,"23,25,25B,32,5,5X,6A,9,9A,N2",,
5168,"10,18,18A,18B,19,2,22,25,25B,3,4,5,6A,7",,
5162,"22,25,25B,7",,
5172,"12,22,23,25,25B,28C,32,5,6A,9,9A,N2",,
5174,"12,17,17T,18,18A,18B,19,2,22,23,25,25B,2A,32,4,56,6A,H2",,
5171,"12,22,23,25,25B,28C,5,9,9A,N2",,
5169,"32,6A",,
5192,"1,16,16S,26,26A,3,33,3X,6A,N1B",,
5195,"25,25B,5,9,9A",,
5196,"23,25,25B,32,5,5X,6A,9,9A,N2",,
5190,6A,,
5199,"12,28B,2A,6A,8,8A,9,9A,H1,H2",,
5202,"16,16S,2,5",,
5197,"28B,6A",,
5207,"12,28B,2A,6A,8,8A,9,9A,H1,H2",,
5217,"28C,H1",,
5225,"17,28C,6A",,
5226,"17,6A,6B",,
5232,"1,101XS,17T,26A,3,33,N1A",,
5233,"1,101XS,17T,26,26A,3,33,6A,8A,N1A",,
5234,"28C,32,5,65,6A,8,9,9A,N2",,
5238,"16,16S,2,2A",,
5239,"16,16S,2,2A,6A",,
5243,"17S,27,30,34,3A,51A,AP1,N1A",,
5244,"17S,27,30,34,3A,51A,AP1,N1A",,
5246,"10B,18B",,
5250,"17S,27,30,34,3A,51A,AP1,N1A",,
5251,"17S,27,30,34,3A,51A,AP1,N1A",,
5279,"103,17S,18,18B,19,27,28C,30,3A,51A,6A,7,AP1,N1A",,
5312,"1,10,11,16,16S,2,21A,26,5,61,71S,MT4,N3",,
5316,"55,60,65,6B",,
5328,"16,16S,18,23,28B,32,6B,9,9A,N2",,
5323,"16S,28B,6B",,
5324,"16S,28B,6B",,
5326,"16,16S,28B,6B,9",,
5332,"16,16S,18,23,28B,32,6B,9,9A,N2",,
5388,"2A,6B",,
5507,"10,102,10B,12,22,23,25,25AX,25B,28A,29,2AS,3,32,39,3A,3AX,3BX,50,50B,5X,65,6B,7,73,8,H1,H3,MT1,MT2,MT5,N1B,N2",,
5510,"6B,H1",,
5524,"6B,H1",,
5531,"10,102,10B,12,22,23,25,25AX,25B,28A,29,2AS,3,32,39,3A,3AX,3BX,50,50B,5X,65,7,73,8,MT1,MT2,MT5,N1B,N2",,
5532,"10,102,10B,12,22,23,25,25AX,25B,28A,28B,28C,29,2AS,3,32,39,3A,3AX,3BX,50,50B,5X,65,7,73,8,MT1,MT2,MT5,N1B,N2",,
5549,"10,10B,25B,28A,28B,28C,29,3,32,5,6A,6B,H3",,
5552,"10,10B,22,25,25B,28A,28B,28C,29,3,32,3AX,50,5X,8,N2",,
5553,"10,10B,25B,28A,28B,28C,29,3,32,3AX,50,5X",,
5547,"22,25,8,N2",,
5571,"1,10,11,18,18B,2,21A,21AT,26,26AT,5,55,60,61,65,6B,71S,9,MT4,N3",,
5575,"10B,12,18,18B,19,2,22,30,34,3A,6A,7,N1A",,
5591,"12,19,2,22,30,34,6A,7",,
5592,"2,30,34,6A",,
5594,"12,19,22,7",,
5596,"10,12,19,1A,2,22,28B,29,34,6A,7,H2",,
5618,"23,25,25B,32,5,5X,6A,9,9A,N2",,
5619,"23,25,25B,32,5,5X,6A,9,9A,N2",,
5630,"7,8",,
5631,"7,8",,
5633,"7,8",,
5647,"17T,7,8",,
5652,"17,18,18B,19,7",,
5655,"17,18,18B,19,7",,
5653,"17,18B,19,7",,
