timestamp,route,direction,staCode,busPlate,status,speed
2026-07-06T06:01:02.611213+08:00,701X,0,T550/3,AA7364,0,22
2026-07-06T06:01:02.611213+08:00,701X,0,T360,AA3055,0,3
2026-07-06T06:01:02.611213+08:00,701X,0,T355/2,AA6961,0,23
2026-07-06T06:02:13.019577+08:00,701X,0,T550/3,AA7364,0,22
2026-07-06T06:02:13.019577+08:00,701X,0,T376/1,AA3055,0,3
2026-07-06T06:02:13.019577+08:00,701X,0,T560/7,AA6961,0,23
2026-07-06T06:03:22.462095+08:00,701X,0,T560/5,AA7364,0,22
2026-07-06T06:03:22.462095+08:00,701X,0,T376/1,AA3055,0,3
2026-07-06T06:03:22.462095+08:00,701X,0,T550/3,AA6961,1,
2026-07-06T06:04:33.821051+08:00,701X,0,T560/5,AA7364,0,22
2026-07-06T06:04:33.821051+08:00,701X,0,T414,AA3055,0,3
2026-07-06T06:04:33.821051+08:00,701X,0,T550/3,AA6961,1,
2026-07-06T06:05:43.396646+08:00,701X,0,T560/5,AA7364,0,22
2026-07-06T06:05:43.396646+08:00,701X,0,T415,AA3055,0,3
2026-07-06T06:05:43.396646+08:00,701X,0,T550/3,AA6961,1,
